,distance,moving_time,start_date_local,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,ftp
0,63539.8,8189,2023-10-17T10:00:06Z,152.1,125.0,4257.0,2782.0,1025.0,0.0,123.11604166666666
1,65466.1,8033,2023-10-15T06:22:30Z,144.8,146.0,5628.0,1349.0,910.0,0.0,122.89595833333334
2,24439.8,4925,2023-10-14T08:00:20Z,128.2,579.0,3980.0,361.0,5.0,0.0,86.03041666666667
3,8939.8,1432,2023-10-14T07:31:51Z,112.2,1078.0,337.0,17.0,0.0,0.0,56.351625
4,104175.0,13563,2023-10-13T06:24:08Z,135.2,548.0,12483.0,532.0,0.0,0.0,55.377874999999996
5,91881.9,11934,2023-10-12T06:04:30Z,148.9,169.0,6993.0,3472.0,1300.0,0.0,118.1895
6,59213.7,7518,2023-10-08T10:55:33Z,146.7,284.0,5112.0,900.0,1222.0,0.0,119.01679166666666
7,72957.6,9733,2023-10-06T06:24:23Z,145.4,348.0,5970.0,2143.0,1272.0,0.0,48.761916666666664
8,21650.8,3368,2023-10-05T08:36:27Z,115.5,1568.0,1800.0,0.0,0.0,0.0,82.851875
9,42219.4,4970,2023-10-04T09:47:29Z,148.1,140.0,2497.0,2333.0,0.0,0.0,146.25645833333334
10,55307.5,7072,2023-10-03T10:34:08Z,150.9,200.0,3074.0,2560.0,1238.0,0.0,125.26383333333331
11,65146.6,7730,2023-10-01T06:20:36Z,150.4,181.0,4081.0,2245.0,1223.0,0.0,89.48841666666667
12,47725.5,6250,2023-09-29T15:50:36Z,145.9,389.0,3350.0,246.0,2265.0,0.0,89.09970833333334
13,41754.1,5188,2023-09-28T05:52:58Z,155.7,62.0,2620.0,157.0,2349.0,0.0,103.00691666666665
14,33521.1,4212,2023-09-26T17:05:15Z,157.7,72.0,1228.0,2083.0,829.0,0.0,101.41962499999998
15,3564.2,723,2023-09-24T11:41:03Z,127.9,20.0,703.0,0.0,0.0,0.0,0.0
16,4904.7,1355,2023-09-24T08:54:28Z,126.4,0.0,1355.0,0.0,0.0,0.0,29.064675516224188
17,39964.1,4020,2023-09-24T07:45:58Z,175.6,0.0,28.0,150.0,3842.0,0.0,239.15379166666668
18,2744.7,427,2023-09-24T07:36:32Z,132.1,5.0,406.0,16.0,0.0,0.0,0.0
19,29299.1,4662,2023-09-22T15:39:32Z,135.3,576.0,3436.0,125.0,517.0,8.0,89.41795833333333
20,63154.4,8293,2023-09-20T05:24:13Z,153.3,35.0,4852.0,1106.0,2300.0,0.0,115.28408333333333
21,25244.2,4143,2023-09-18T06:24:13Z,125.6,803.0,3099.0,195.0,46.0,0.0,61.26233333333333
22,63009.1,7371,2023-09-17T05:54:02Z,153.6,21.0,3611.0,2455.0,1284.0,0.0,159.25641666666664
23,53725.3,7840,2023-09-16T06:24:54Z,145.7,112.0,5638.0,1881.0,209.0,0.0,92.82608333333333
24,51502.6,6941,2023-09-15T06:57:00Z,145.4,351.0,4487.0,684.0,1419.0,0.0,52.98229166666667
25,38085.2,5154,2023-09-13T08:01:04Z,139.6,118.0,4357.0,510.0,169.0,0.0,138.06745833333335
26,3837.3,584,2023-09-13T06:51:58Z,139.4,73.0,276.0,227.0,8.0,0.0,70.86999999999999
27,42550.3,6744,2023-09-12T16:46:29Z,137.0,358.0,5306.0,386.0,428.0,266.0,60.568041666666666
28,34596.9,4758,2023-09-08T09:59:09Z,144.4,390.0,3137.0,259.0,778.0,194.0,109.99258333333333
29,33563.4,4768,2023-09-06T07:58:35Z,137.4,1393.0,1788.0,602.0,985.0,0.0,80.76424999999999
30,33478.4,4544,2023-09-04T08:02:17Z,135.0,823.0,3338.0,383.0,0.0,0.0,94.37537499999999
31,58915.0,8095,2023-09-01T06:58:15Z,140.4,1103.0,4573.0,933.0,1486.0,0.0,103.68220833333334
32,33616.4,4937,2023-08-29T06:15:45Z,136.5,559.0,3219.0,906.0,253.0,0.0,79.23791666666666
33,33372.7,5723,2023-08-26T10:20:04Z,122.4,773.0,4898.0,47.0,5.0,0.0,87.625625
35,43479.3,6386,2023-08-22T06:35:04Z,140.0,466.0,3997.0,1127.0,796.0,0.0,102.35775
37,88910.8,10723,2023-08-20T06:01:05Z,150.1,57.0,6711.0,3057.0,898.0,0.0,180.31079166666666
38,73837.7,9987,2023-08-19T08:58:29Z,138.9,869.0,8339.0,779.0,0.0,0.0,86.85137499999999
39,36848.7,5074,2023-08-18T08:51:56Z,131.4,703.0,4361.0,10.0,0.0,0.0,110.23720833333333
40,35770.8,4983,2023-08-17T06:43:33Z,134.3,462.0,4521.0,0.0,0.0,0.0,100.36274999999999
42,57272.4,8838,2023-08-15T07:42:21Z,140.2,752.0,6132.0,853.0,1101.0,0.0,92.37720833333333
44,64861.7,8188,2023-08-13T05:55:58Z,143.3,301.0,5488.0,1430.0,969.0,0.0,131.94470833333332
45,76010.5,10223,2023-08-11T07:35:28Z,134.5,525.0,9694.0,4.0,0.0,0.0,101.64129166666666
46,57479.5,7784,2023-08-10T07:17:13Z,133.4,631.0,7153.0,0.0,0.0,0.0,102.04820833333333
48,53449.0,7840,2023-08-08T08:12:16Z,143.3,405.0,5507.0,665.0,1263.0,0.0,100.70237499999999
50,64586.2,8235,2023-08-06T05:52:32Z,145.1,406.0,5457.0,1177.0,1195.0,0.0,143.0715833333333
51,47595.1,6285,2023-08-04T08:57:15Z,139.1,184.0,6093.0,8.0,0.0,0.0,117.84116666666667
53,72220.6,11331,2023-08-02T07:12:51Z,136.8,795.0,8765.0,386.0,1371.0,14.0,82.14966666666666
55,63408.3,7844,2023-07-30T05:50:07Z,152.7,178.0,3826.0,2653.0,1128.0,59.0,107.94375
57,51423.6,7330,2023-07-25T07:06:42Z,139.6,836.0,4255.0,1798.0,441.0,0.0,78.32116666666666
59,65188.8,8407,2023-07-23T05:46:44Z,137.9,885.0,5493.0,1382.0,647.0,0.0,79.77308333333333
60,103528.0,15776,2023-07-22T08:05:58Z,144.2,1074.0,9067.0,4620.0,1015.0,0.0,95.20741666666666
61,84458.3,12254,2023-07-20T07:41:39Z,145.0,794.0,6704.0,4255.0,501.0,0.0,83.62454166666667
63,44179.4,6294,2023-07-18T07:25:35Z,143.3,502.0,3933.0,744.0,1115.0,0.0,99.11904166666666
65,63451.9,7800,2023-07-16T05:45:06Z,141.4,633.0,4790.0,1660.0,717.0,0.0,52.31808333333333
66,93669.4,11380,2023-07-15T05:18:38Z,150.0,144.0,6390.0,3532.0,1314.0,0.0,50.348416666666665
67,65439.7,9425,2023-07-13T07:27:53Z,144.7,454.0,6255.0,1953.0,763.0,0.0,93.67554166666666
69,48489.8,6774,2023-07-11T07:43:44Z,145.3,220.0,4380.0,1269.0,905.0,0.0,91.72091666666667
70,65290.2,8055,2023-07-09T06:20:06Z,150.6,162.0,4881.0,1415.0,1504.0,93.0,140.1028333333333
71,72151.5,10956,2023-07-07T06:26:34Z,138.3,493.0,8580.0,487.0,1396.0,0.0,90.69887499999999
72,33218.1,4769,2023-07-04T08:21:38Z,136.1,224.0,4203.0,249.0,93.0,0.0,109.8105
73,67299.2,8458,2023-07-02T06:17:13Z,147.4,199.0,5566.0,1448.0,1245.0,0.0,
74,61210.3,7867,2023-06-30T05:47:35Z,137.9,1225.0,4637.0,1675.0,330.0,0.0,
75,74837.2,10573,2023-06-28T06:19:05Z,138.4,1412.0,7013.0,2081.0,67.0,0.0,
77,1419.9,257,2023-06-27T08:49:23Z,105.2,241.0,16.0,0.0,0.0,0.0,
78,2358.5,424,2023-06-26T22:54:28Z,105.6,268.0,156.0,0.0,0.0,0.0,
79,2373.5,445,2023-06-26T14:09:56Z,114.0,207.0,238.0,0.0,0.0,0.0,
80,25727.7,3946,2023-06-26T06:50:22Z,120.7,1011.0,2920.0,15.0,0.0,0.0,
81,13587.9,1952,2023-06-25T08:57:04Z,132.7,24.0,1947.0,0.0,0.0,0.0,
82,39187.6,4328,2023-06-25T07:01:11Z,155.8,79.0,1753.0,1365.0,1168.0,0.0,
83,12470.3,1735,2023-06-25T06:17:42Z,129.9,158.0,1494.0,83.0,0.0,0.0,
84,162929.0,21748,2023-06-23T05:51:09Z,146.5,980.0,12693.0,5800.0,2275.0,0.0,
85,2209.9,428,2023-06-21T20:02:12Z,105.1,341.0,87.0,0.0,0.0,0.0,
86,2353.4,451,2023-06-21T15:41:17Z,115.8,214.0,237.0,0.0,0.0,0.0,
87,1493.6,329,2023-06-21T12:45:08Z,115.5,144.0,185.0,0.0,0.0,0.0,
88,1405.2,273,2023-06-21T11:43:14Z,112.2,135.0,138.0,0.0,0.0,0.0,
89,84594.1,12453,2023-06-21T05:56:44Z,127.2,965.0,11488.0,0.0,0.0,0.0,
90,2347.2,434,2023-06-20T22:56:34Z,109.2,278.0,156.0,0.0,0.0,0.0,
91,2341.4,458,2023-06-20T14:13:06Z,110.5,245.0,213.0,0.0,0.0,0.0,
92,1228.3,314,2023-06-20T12:25:42Z,95.0,314.0,0.0,0.0,0.0,0.0,
94,1249.3,312,2023-06-20T09:29:58Z,99.9,312.0,0.0,0.0,0.0,0.0,
95,2612.7,501,2023-06-19T22:54:00Z,109.8,333.0,168.0,0.0,0.0,0.0,
96,2320.1,422,2023-06-19T14:13:29Z,114.4,149.0,273.0,0.0,0.0,0.0,
97,35744.2,5679,2023-06-19T06:33:07Z,114.4,3107.0,2572.0,0.0,0.0,0.0,
98,63467.2,7870,2023-06-18T06:15:17Z,146.7,335.0,4756.0,1832.0,946.0,1.0,
99,94668.1,11812,2023-06-16T05:06:43Z,146.9,436.0,7479.0,3076.0,818.0,3.0,
100,2313.5,487,2023-06-14T20:04:29Z,107.7,362.0,125.0,0.0,0.0,0.0,
101,2431.0,510,2023-06-14T15:43:08Z,117.1,135.0,375.0,0.0,0.0,0.0,
102,83907.2,11920,2023-06-14T06:33:53Z,134.4,814.0,10788.0,318.0,0.0,0.0,
103,2392.0,462,2023-06-13T22:55:39Z,106.9,423.0,39.0,0.0,0.0,0.0,
104,2570.5,469,2023-06-13T14:12:35Z,113.5,213.0,256.0,0.0,0.0,0.0,
106,1250.6,266,2023-06-13T09:45:43Z,91.4,261.0,5.0,0.0,0.0,0.0,
107,2327.1,461,2023-06-12T22:56:33Z,102.2,461.0,0.0,0.0,0.0,0.0,
108,2392.7,466,2023-06-12T14:11:23Z,114.6,242.0,224.0,0.0,0.0,0.0,
109,32042.1,4749,2023-06-12T06:17:48Z,126.1,862.0,3887.0,0.0,0.0,0.0,
