,distance,moving_time,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,kilojoules,Power Zone 1,Power Zone 2,Power Zone 3,Power Zone 4,Power Zone 5,Power Zone 6,Power Zone 7,Power Zone 8,Power Zone 9,Power Zone 10,Power Zone 11,ftp
0,870172.9,132447,2724.0,18811.0,75774.0,25263.0,12599.0,0.0,16600.1,21345.0,9259.0,20672.0,31668.0,21044.0,18956.0,7440.0,1420.0,295.0,106.0,242.0,203.14008333333334
2,613744.8,77988,1587.5,4853.0,42301.0,20124.0,10625.0,85.0,10540.1,6778.0,7579.0,14850.0,18045.0,14346.0,9274.0,3843.0,1536.0,807.0,416.0,514.0,117.25691666666665
3,1572230.3,194877,3822.5,26031.0,127661.0,34543.0,6642.0,0.0,28469.4,13343.0,7764.0,31723.0,45136.0,64853.0,17226.0,8179.0,2999.0,1276.0,682.0,1696.0,216.56437499999998
4,594916.1,77392,2885.3,9910.0,40529.0,13170.0,13777.0,6.0,12423.6,6192.0,3710.0,15161.0,16893.0,9244.0,9634.0,10369.0,2782.0,1424.0,865.0,1118.0,250.49916666666667
5,531411.9,73287,1611.6,2524.0,40996.0,25367.0,4398.0,2.0,10679.9,5845.0,1813.0,8225.0,25644.0,17770.0,8040.0,3597.0,1476.0,557.0,177.0,143.0,167.235625
6,958193.8,131349,2949.3,8884.0,82868.0,30233.0,9364.0,0.0,18839.3,16661.0,5033.0,14771.0,32906.0,27637.0,22201.0,8743.0,2603.0,504.0,151.0,139.0,218.3899583333333
7,790476.0,113225,2037.2,16155.0,62631.0,29420.0,5019.0,0.0,15196.4,17396.0,6082.0,16566.0,24667.0,20539.0,19342.0,5664.0,1670.0,572.0,259.0,468.0,94.97466666666666
8,806119.5,105924,2992.6,9058.0,62530.0,21576.0,12680.0,80.0,15657.9,3158.0,5478.0,24702.0,27781.0,17298.0,12120.0,12461.0,2023.0,345.0,134.0,424.0,151.78941666666665
9,1331062.8,173353,2848.2,17062.0,120169.0,30304.0,5818.0,0.0,25971.1,7029.0,4982.0,30108.0,53934.0,42720.0,20851.0,6781.0,2885.0,2176.0,677.0,1210.0,140.47808333333333
10,955199.3,117302,4028.9,10695.0,72088.0,22350.0,11702.0,467.0,16487.6,7464.0,8171.0,19930.0,27746.0,31396.0,14665.0,5170.0,1494.0,443.0,384.0,439.0,222.13691666666668
11,848495.4,104065,3136.8,9134.0,63871.0,25600.0,5460.0,0.0,17122.9,2935.0,3337.0,10941.0,20577.0,37139.0,21919.0,5584.0,1035.0,288.0,158.0,152.0,210.51762499999998
12,542874.2,65277,1821.3,4261.0,26308.0,20680.0,13998.0,30.0,10855.3,3562.0,2733.0,10220.0,8592.0,11951.0,21504.0,5307.0,975.0,186.0,125.0,122.0,174.32183333333333
13,523504.8,60672,1815.2,6544.0,21910.0,18683.0,13356.0,179.0,10070.0,3076.0,3166.0,9336.0,11056.0,10604.0,13599.0,6626.0,2294.0,536.0,175.0,204.0,190.5929583333333
14,206103.09999999998,22202,889.3,438.0,9499.0,7093.0,5059.0,113.0,3823.2,1534.0,473.0,2056.0,3901.0,6407.0,4718.0,1999.0,649.0,224.0,90.0,151.0,220.85441666666665
15,623227.7,77463,2525.8,3602.0,36473.0,23331.0,13900.0,157.0,13513.1,5887.0,2875.0,11220.0,10616.0,14647.0,14213.0,12142.0,3756.0,1159.0,427.0,521.0,198.34258333333332
16,195418.8,27186,737.8,1594.0,15334.0,5586.0,4670.0,2.0,4008.7,3673.0,1728.0,4153.0,4733.0,4517.0,3542.0,3168.0,1304.0,222.0,82.0,64.0,143.58062499999997
17,630992.9,75452,1960.2,4310.0,39892.0,22729.0,8202.0,319.0,12862.6,2566.0,1420.0,5661.0,18991.0,23923.0,14665.0,5318.0,1788.0,441.0,358.0,321.0,172.368
18,620314.4,76549,2678.4,6216.0,35833.0,22081.0,11765.0,654.0,11926.8,2495.0,5305.0,9591.0,22356.0,12647.0,17034.0,5186.0,963.0,472.0,299.0,201.0,178.6855
19,378689.4,49597,1102.9,3922.0,23789.0,15907.0,5973.0,6.0,7382.9,9409.0,1934.0,5670.0,7290.0,8702.0,8131.0,6104.0,1352.0,370.0,143.0,492.0,158.7204583333333
20,698208.7,83469,3939.9,3838.0,35302.0,24801.0,19347.0,181.0,14838.8,3478.0,3992.0,13711.0,7231.0,20056.0,18451.0,10222.0,3970.0,1555.0,484.0,319.0,226.9019583333333
21,491265.9,66549,2798.9,4777.0,33038.0,16119.0,12615.0,0.0,10724.1,4008.0,3555.0,11592.0,16644.0,8292.0,9449.0,7243.0,3379.0,1318.0,667.0,402.0,219.81495833333332
22,422825.0,53854,1912.3,2972.0,30179.0,13392.0,7083.0,228.0,7931.0,10737.0,3399.0,7352.0,7702.0,7725.0,7749.0,4309.0,1683.0,1214.0,691.0,1293.0,129.02266666666665
25,415341.2,65029,1987.4,16176.0,30906.0,8962.0,8820.0,165.0,9049.9,7283.0,7936.0,13567.0,9970.0,9065.0,6175.0,6565.0,1987.0,1093.0,518.0,870.0,207.17679166666667
27,775247.9,96548,3021.8,5187.0,49579.0,29598.0,12073.0,111.0,13763.5,22152.0,2903.0,10115.0,15508.0,15999.0,13507.0,10551.0,3447.0,1193.0,491.0,682.0,226.95420833333333
28,667844.4,94147,1868.2,4443.0,59648.0,23014.0,7042.0,0.0,13654.3,16689.0,3099.0,9485.0,16743.0,23707.0,13603.0,6596.0,1838.0,930.0,518.0,939.0,163.08808333333332
29,506297.4,72027,2313.4,8283.0,36289.0,17983.0,9471.0,1.0,10570.6,9648.0,5529.0,10954.0,11015.0,9437.0,12674.0,11019.0,1044.0,252.0,131.0,324.0,237.02104166666666
30,416077.7,66495,2142.4,6568.0,40487.0,12033.0,7407.0,0.0,9387.4,10366.0,4097.0,9424.0,12284.0,10922.0,8972.0,8128.0,1543.0,354.0,130.0,275.0,219.9812083333333
31,289503.0,38499,1444.0,6141.0,14478.0,10129.0,7750.0,1.0,5986.3,2129.0,6766.0,4611.0,4822.0,5241.0,6153.0,7241.0,1024.0,325.0,108.0,79.0,179.04570833333332
32,294585.0,42659,897.3,5845.0,30517.0,3508.0,2789.0,0.0,5502.6,7334.0,769.0,5829.0,12054.0,10344.0,3512.0,1001.0,1093.0,521.0,185.0,17.0,129.99245833333333
33,16483.2,3052,275.5,834.0,1206.0,866.0,146.0,0.0,326.3,95.0,652.0,784.0,937.0,375.0,11.0,73.0,105.0,19.0,1.0,0.0,101.913625
34,282978.9,45096,1419.2,7363.0,34625.0,2726.0,382.0,0.0,4600.6,8126.0,3895.0,10582.0,12445.0,6531.0,2298.0,608.0,235.0,123.0,42.0,211.0,113.52658333333332
37,137760.2,25563,1467.5,7910.0,7843.0,6706.0,3045.0,59.0,2576.1,943.0,6575.0,5856.0,5683.0,4875.0,1594.0,37.0,0.0,0.0,0.0,0.0,96.85249999999999
39,200053.9,30417,1129.5,1948.0,19478.0,8366.0,625.0,0.0,3297.5,5133.0,4808.0,7428.0,3884.0,3508.0,3506.0,1059.0,411.0,424.0,120.0,136.0,77.53741666666667
41,169042.6,28091,1984.5,5277.0,8442.0,8410.0,5962.0,0.0,3637.0,3605.0,5077.0,5971.0,2091.0,2427.0,6028.0,1383.0,522.0,375.0,226.0,386.0,181.590125
42,461459.6,61388,1561.0,4288.0,38922.0,15400.0,2777.0,1.0,8114.8,6039.0,2977.0,8858.0,18421.0,16262.0,6474.0,1654.0,365.0,124.0,75.0,139.0,135.054375
43,121678.4,18486,667.8,1959.0,14342.0,1177.0,1008.0,0.0,2068.2,2329.0,1531.0,4281.0,5033.0,3381.0,1444.0,331.0,89.0,33.0,18.0,16.0,121.75358333333332
44,42839.1,6410,92.4,6410.0,0.0,0.0,0.0,0.0,714.8,826.0,387.0,1582.0,1934.0,1186.0,295.0,109.0,36.0,25.0,23.0,7.0,107.44975
45,25474.2,4328,97.7,2952.0,1376.0,0.0,0.0,0.0,441.8,854.0,282.0,1026.0,1100.0,673.0,267.0,75.0,28.0,17.0,3.0,3.0,111.34633333333332
46,52648.1,9803,704.6,2151.0,3666.0,2963.0,1023.0,0.0,1081.5,1281.0,2802.0,2342.0,537.0,787.0,820.0,384.0,326.0,257.0,122.0,145.0,151.11649999999997
47,9177.3,2100,78.8,1626.0,474.0,0.0,0.0,0.0,156.7,56.0,718.0,745.0,512.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,52.51406473108043
49,839311.4,116537,2069.3,7888.0,90335.0,10449.0,7851.0,14.0,17346.3,15105.0,3304.0,14513.0,21317.0,39142.0,10478.0,6281.0,3531.0,1220.0,633.0,1013.0,180.31079166666666
50,921196.2,125522,2016.5,6798.0,78323.0,27465.0,12784.0,152.0,18470.3,19814.0,5406.0,17449.0,26842.0,22567.0,15646.0,8390.0,4038.0,2137.0,1292.0,1941.0,140.1028333333333
53,674938.0,88467,1678.4,5366.0,56212.0,18694.0,8195.0,0.0,13452.5,12803.0,4452.0,9708.0,16333.0,21797.0,12297.0,5517.0,1999.0,1314.0,703.0,1544.0,146.25645833333334
54,705139.6,96072,2853.4,6704.0,57588.0,12398.0,18914.0,468.0,15738.1,13956.0,1855.0,10789.0,14665.0,20798.0,15298.0,12653.0,3314.0,1169.0,611.0,964.0,239.15379166666668
