,distance,moving_time,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,kilojoules,Power Zone 1,Power Zone 2,Power Zone 3,Power Zone 4,Power Zone 5,Power Zone 6,Power Zone 7,Power Zone 8,Power Zone 9,Power Zone 10,Power Zone 11,ftp
0,870172.9,132447.0,2724.0,18811.0,75774.0,25263.0,12599.0,0.0,16600.1,21345.0,9259.0,20672.0,31668.0,21044.0,18956.0,7440.0,1420.0,295.0,106.0,242.0,203.14008333333334
1,613744.8,77988.0,1587.5,4853.0,42301.0,20124.0,10625.0,85.0,10540.1,6778.0,7579.0,14850.0,18045.0,14346.0,9274.0,3843.0,1536.0,807.0,416.0,514.0,117.25691666666665
2,1572230.3,194877.0,3822.5,26031.0,127661.0,34543.0,6642.0,0.0,28469.4,13343.0,7764.0,31723.0,45136.0,64853.0,17226.0,8179.0,2999.0,1276.0,682.0,1696.0,216.56437499999998
3,594916.1,77392.0,2885.3,9910.0,40529.0,13170.0,13777.0,6.0,12423.6,6192.0,3710.0,15161.0,16893.0,9244.0,9634.0,10369.0,2782.0,1424.0,865.0,1118.0,250.49916666666667
4,531411.9,73287.0,1611.6,2524.0,40996.0,25367.0,4398.0,2.0,10679.9,5845.0,1813.0,8225.0,25644.0,17770.0,8040.0,3597.0,1476.0,557.0,177.0,143.0,167.235625
5,958193.8,131349.0,2949.3,8884.0,82868.0,30233.0,9364.0,0.0,18839.3,16661.0,5033.0,14771.0,32906.0,27637.0,22201.0,8743.0,2603.0,504.0,151.0,139.0,218.3899583333333
6,790476.0,113225.0,2037.2,16155.0,62631.0,29420.0,5019.0,0.0,15196.4,17396.0,6082.0,16566.0,24667.0,20539.0,19342.0,5664.0,1670.0,572.0,259.0,468.0,94.97466666666666
7,806119.5,105924.0,2992.6,9058.0,62530.0,21576.0,12680.0,80.0,15657.9,3158.0,5478.0,24702.0,27781.0,17298.0,12120.0,12461.0,2023.0,345.0,134.0,424.0,151.78941666666665
8,1331062.8,173353.0,2848.2,17062.0,120169.0,30304.0,5818.0,0.0,25971.1,7029.0,4982.0,30108.0,53934.0,42720.0,20851.0,6781.0,2885.0,2176.0,677.0,1210.0,140.47808333333333
9,955199.3,117302.0,4028.9,10695.0,72088.0,22350.0,11702.0,467.0,16487.6,7464.0,8171.0,19930.0,27746.0,31396.0,14665.0,5170.0,1494.0,443.0,384.0,439.0,222.13691666666668
10,848495.4,104065.0,3136.8,9134.0,63871.0,25600.0,5460.0,0.0,17122.9,2935.0,3337.0,10941.0,20577.0,37139.0,21919.0,5584.0,1035.0,288.0,158.0,152.0,210.51762499999998
11,542874.2,65277.0,1821.3,4261.0,26308.0,20680.0,13998.0,30.0,10855.3,3562.0,2733.0,10220.0,8592.0,11951.0,21504.0,5307.0,975.0,186.0,125.0,122.0,174.32183333333333
12,523504.8,60672.0,1815.2,6544.0,21910.0,18683.0,13356.0,179.0,10070.0,3076.0,3166.0,9336.0,11056.0,10604.0,13599.0,6626.0,2294.0,536.0,175.0,204.0,190.5929583333333
